# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 13:21:51.121966100 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#
# Spectrum
#	CC Chuck's Circular Apatite[0][all]['CC Chuck's Circular Apatite[0][4].msa']
#
# Fit Warnings
#	The k-ratio '[Cl L₁-M₃ + 1 other] = -0.473 ± 0.013' is more than 3σ negative.
#	The k-ratio '[Cu L₃-M₅ + 13 others] = -0.000843 ± 0.000046' is more than 3σ negative.
#
#
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#
# Spectrum
#	CC Chuck's Circular Apatite[5][all]['CC Chuck's Circular Apatite[5][4].msa']
#
# Fit Warnings
#	Removing Cu from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Cl L₁-M₃ + 1 other] = -0.471 ± 0.013' is more than 3σ negative.
#	The k-ratio '[Zn K-L₃ + 1 other] = -0.000183 ± 0.000038' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
CC Chuck's Circular Apatite[5][all],O,8,15.999,0.35952,0.03989,0.35684,0.02548,0.54560,0.02755
CC Chuck's Circular Apatite[5][all],F,9,18.998403163,0.04140,0.00217,0.04110,0.00263,0.05291,0.00414
CC Chuck's Circular Apatite[5][all],Si,14,28.085,0.00243,0.00002,0.00241,0.00010,0.00210,0.00013
CC Chuck's Circular Apatite[5][all],P,15,30.973761998,0.18576,0.00036,0.18437,0.00732,0.14561,0.00883
CC Chuck's Circular Apatite[5][all],S,16,32.06,0.00283,0.00004,0.00280,0.00012,0.00214,0.00013
CC Chuck's Circular Apatite[5][all],Cl,17,35.45,0.00535,0.00003,0.00531,0.00021,0.00366,0.00022
CC Chuck's Circular Apatite[5][all],Ca,20,40.078,0.40830,0.00032,0.40525,0.01607,0.24735,0.01499
CC Chuck's Circular Apatite[5][all],Cu,29,63.54599999999999,0.00000,0.00003,0.00000,0.00003,0.00000,0.00001
CC Chuck's Circular Apatite[5][all],Zn,30,65.38,0.00000,0.00004,0.00000,0.00004,0.00000,0.00001
CC Chuck's Circular Apatite[5][all],As,33,74.921595,0.00193,0.00008,0.00192,0.00011,0.00063,0.00005
# Notes
#	Analytical total: 1.008 ± 0.040
#	Residual written to CC Chuck's Circular Apatite[5][4][residual].msa.
#
