# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:06:03.155157500 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#	The Duane-Hunt (19.63 keV) for KBr std differs by more than 1 % from the beam energy (20.00 keV)!!
#
# Spectrum
#	SPI MM1dup Kaersutite[0][all]['SPI MM1 Kaersutite[0][4].msa']
#
# Fit Warnings
#	Removing F from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01871 ± 0.00042' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1dup Kaersutite[5][all],Na,11,22.98976928,0.01897,0.00008,0.01902,0.00079,0.01859,0.00109
SPI MM1dup Kaersutite[5][all],Mg,12,24.305,0.07736,0.00036,0.07756,0.00323,0.07170,0.00419
SPI MM1dup Kaersutite[5][all],Al,13,26.9815384,0.06869,0.00026,0.06886,0.00287,0.05735,0.00335
SPI MM1dup Kaersutite[5][all],Si,14,28.085,0.18920,0.00052,0.18967,0.00788,0.15176,0.00885
SPI MM1dup Kaersutite[5][all],K,19,39.0983,0.00858,0.00003,0.00861,0.00036,0.00495,0.00029
SPI MM1dup Kaersutite[5][all],Ca,20,40.078,0.08714,0.00009,0.08736,0.00363,0.04898,0.00285
SPI MM1dup Kaersutite[5][all],Ti,22,47.867,0.03233,0.00005,0.03241,0.00135,0.01521,0.00089
SPI MM1dup Kaersutite[5][all],Mn,25,54.938043,0.00129,0.00003,0.00129,0.00006,0.00053,0.00003
SPI MM1dup Kaersutite[5][all],Fe,26,55.845,0.09228,0.00008,0.09251,0.00384,0.03722,0.00217
# Notes
#	Analytical total: 0.997 ± 0.041
#	Residual written to SPI MM1 Kaersutite[5][4][residual].msa.
#
# Spectrum
#	SPI MM1dup Kaersutite[6][all]['SPI MM1 Kaersutite[6][4].msa']
#
# Fit Warnings
#	Removing F from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01827 ± 0.00042' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1dup Kaersutite[6][all],O,8,15.999,0.42323,0.04165,0.42321,0.02402,0.59425,0.02373
SPI MM1dup Kaersutite[6][all],F,9,18.998403163,0.00000,0.00004,0.00000,0.00004,0.00000,0.00004
SPI MM1dup Kaersutite[6][all],Na,11,22.98976928,0.01899,0.00008,0.01899,0.00079,0.01855,0.00109
SPI MM1dup Kaersutite[6][all],Mg,12,24.305,0.07709,0.00036,0.07709,0.00323,0.07125,0.00418
SPI MM1dup Kaersutite[6][all],Al,13,26.9815384,0.06898,0.00026,0.06898,0.00288,0.05743,0.00336
