# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:05:55.214804600 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	None
#
# Spectrum
#	SPI MM1 Andradite[0][all]['SPI MM1 Andradite[0][4].msa']
#
# Fit Warnings
#	Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.03616 ± 0.00045' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Andradite[7][all],O,8,15.999,0.36806,0.04413,0.36648,0.02784,0.57991,0.02921
SPI MM1 Andradite[7][all],Mg,12,24.305,0.00003,0.00003,0.00003,0.00003,0.00004,0.00003
SPI MM1 Andradite[7][all],Al,13,26.9815384,0.02439,0.00011,0.02428,0.00107,0.02278,0.00159
SPI MM1 Andradite[7][all],Si,14,28.085,0.17165,0.00051,0.17091,0.00752,0.15407,0.01072
SPI MM1 Andradite[7][all],Ca,20,40.078,0.25050,0.00018,0.24942,0.01096,0.15756,0.01096
SPI MM1 Andradite[7][all],Ti,22,47.867,0.00000,0.00002,0.00000,0.00002,0.00000,0.00001
SPI MM1 Andradite[7][all],Mn,25,54.938043,0.00295,0.00004,0.00294,0.00013,0.00135,0.00010
SPI MM1 Andradite[7][all],Fe,26,55.845,0.18673,0.00013,0.18593,0.00817,0.08429,0.00586
# Notes
#	Analytical total: 1.004 ± 0.044
#	Residual written to SPI MM1 Andradite[7][4][residual].msa.
#
# Spectrum
#	Sum[8 spectra]['Sum spectrum']
#
# Fit Warnings
#	Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.03281 ± 0.00016' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
Sum[8 spectra],O,8,15.999,0.37009,0.04467,0.37098,0.02816,0.58423,0.02932
Sum[8 spectra],Mg,12,24.305,0.00019,0.00001,0.00019,0.00001,0.00019,0.00002
Sum[8 spectra],Al,13,26.9815384,0.02554,0.00010,0.02561,0.00115,0.02391,0.00169
Sum[8 spectra],Si,14,28.085,0.16486,0.00048,0.16525,0.00741,0.14825,0.01046
Sum[8 spectra],Ca,20,40.078,0.25738,0.00016,0.25800,0.01155,0.16219,0.01144
Sum[8 spectra],Ti,22,47.867,0.00000,0.00001,0.00000,0.00001,0.00000,0.00000
Sum[8 spectra],Mn,25,54.938043,0.00301,0.00001,0.00301,0.00014,0.00138,0.00010
Sum[8 spectra],Fe,26,55.845,0.17654,0.00009,0.17697,0.00792,0.07984,0.00563
# Notes
#	Analytical total: 0.998 ± 0.045
#
