Name,Formula,Mass Fractions,Comment
SPI Jadeite,0.4713*O+0.1069*Na+0.0043*Mg+0.1202*Al+0.2776*Si+0.0123*Ca+0.0072*Fe,"O:0.47130, Si:0.27760, Al:0.12020, Na:0.10690, Ca:0.01230, Fe:0.00720, Mg:0.00430",-
SPI Kaersutite,0.0023*H+0.4316*O+0.0014*F+0.0195*Na+0.0764*Mg+0.063*Al+0.194*Si+0.0084*K+0.0815*Ca+0.0301*Ti+0.0013*Mn+0.0877*Fe,"O:0.43160, Si:0.19400, Fe:0.08770, Ca:0.08150, Mg:0.07640, Al:0.06300, Ti:0.03010, Na:0.01950, K:0.00840, H:0.00230, F:0.00140, Mn:0.00130",-
SPI Kyanite,0.4937*O+0.333*Al+0.1733*Si,"O:0.49370, Al:0.33300, Si:0.17330",-
SPI Labradorite,0.4689*O+0.0288*Na+0.1608*Al+0.2414*Si+0.0009*K+0.0997*Ca+0.0034*Fe,"O:0.46890, Si:0.24140, Al:0.16080, Ca:0.09970, Na:0.02880, Fe:0.00340, K:0.00090",-
SPI Magnetite,0.0001*Si+0.0018*Mn+0.7188*Fe+0.2753*O,"Fe:0.71880, O:0.27530, Mn:0.00180, Si:0.00010",-
SPI Manganotantalite,-,"Ta:0.66009, O:0.19456, Mn:0.10920, Nb:0.03915",-
SPI Monazite,0.0172*SiO2+0.2704*P2O5+0.0090*CaO+0.02*Y2O3+0.0948*La2O3+0.2504*Ce2O3+0.0297*Pr2O3+0.1100*Nd2O3+0.0320*Sm2O3+0.0012*Eu2O3+0.0256*Gd2O3+0.0015*Er2O3+0.0030*PbO+0.1180*ThO2+0.0020*UO2+0.0092*Dy2O3,"O:0.26305, Ce:0.21378, P:0.11801, Th:0.10370, Nd:0.09431, La:0.08083, Sm:0.02760, Pr:0.02538, Gd:0.02221, Y:0.01575, Si:0.00804, Dy:0.00802, Ca:0.00643, Pb:0.00278, U:0.00176, Er:0.00131, Eu:0.00104",-
SPI Olivine,0.0817*FeO+0.5044*MgO+0.4101*SiO2+0.00354*NiO+0.00115*MnO,"O:0.43784, Mg:0.30417, Si:0.19170, Fe:0.06351, Ni:0.00278, Mn:0.00089",-
SPI Plagioclase,0.4679*O+0.0324*Na+0.1554*Al+0.2483*Si+0.002*K+0.0853*Ca+0.0027*Fe,"O:0.46790, Si:0.24830, Al:0.15540, Ca:0.08530, Na:0.03240, Fe:0.00270, K:0.00200",-
SPI Pollucite,0.0005*Li+0.3594*O+0.015*Na+0.0906*Al+0.222*Si+0.0005*K+0.0017*Rb+0.323*Cs,"O:0.35940, Cs:0.32300, Si:0.22200, Al:0.09060, Na:0.01500, Rb:0.00170, Li:0.00050, K:0.00050",-
SPI Pyrite,0.5341*S+0.463*Fe,"S:0.53410, Fe:0.46300",-
SPI Pyrope,0.4438*O+0.1227*Mg+0.1142*Al+0.1937*Si+0.0311*Ca+0.003*Ti+0.0141*Cr+0.0024*Mn+0.0681*Fe,"O:0.44380, Si:0.19370, Mg:0.12270, Al:0.11420, Fe:0.06810, Ca:0.03110, Cr:0.01410, Ti:0.00300, Mn:0.00240",-
SPI Rhodonite,0.3752*O+0.0117*Mg+0.2187*Si+0.0331*Ca+0.3276*Mn+0.0337*Fe,"O:0.37520, Mn:0.32760, Si:0.21870, Fe:0.03370, Ca:0.03310, Mg:0.01170",-
SPI Scheelite,0.2225*O+0.1394*Ca+0.0013*Mo+0.6369*W,"W:0.63690, O:0.22250, Ca:0.13940, Mo:0.00130",-
SPI Spessartine,0.3877*O+0.1072*Al+0.1696*Si+0.0073*Ca+0.0008*Ti+0.3177*Mn+0.0093*Fe+0.0005*Sn,"O:0.38770, Mn:0.31770, Si:0.16960, Al:0.10720, Fe:0.00930, Ca:0.00730, Ti:0.00080, Sn:0.00050",-
SPI Sphene,0.4063*O+0.0072*Al+0.1441*Si+0.206*Ca+0.2266*Ti+0.0004*Mn+0.0051*Fe,"O:0.40630, Ti:0.22660, Ca:0.20600, Si:0.14410, Al:0.00720, Fe:0.00510, Mn:0.00040",-
SPI Spodumene,0.0371*Li+0.5136*O+0.0009*Na+0.1444*Al+0.3002*Si,"O:0.51360, Si:0.30020, Al:0.14440, Li:0.03710, Na:0.00090",-
SPI Tugtupite,0.0188*Be+0.4067*O+0.1901*Na+0.0576*Al+0.2395*Si+0.0757*Cl,"O:0.40670, Si:0.23950, Na:0.19010, Cl:0.07570, Al:0.05760, Be:0.01880",-
SPI Willemite,0.2942*O+0.1323*Si+0.0461*Mn+0.0002*Fe+0.5312*Zn,"Zn:0.53120, O:0.29420, Si:0.13230, Mn:0.04610, Fe:0.00020",-
SPI Zircon,0.3478*O+0.1526*Si+0.0004*P+0.0005*Y+0.4897*Zr+0.009*Hf,"Zr:0.48970, O:0.34780, Si:0.15260, Hf:0.00900, Y:0.00050, P:0.00040",-
