Name,Formula,Mass Fractions,Comment
NIST K1504,0.025549*Li+0.47868*O+0.120615*Mg+0.007938*Al+0.289829*Si+0.003573*Ca+0.003872*Mn+0.069944*Fe,"O:0.47868, Si:0.28983, Mg:0.12061, Fe:0.06994, Li:0.02555, Al:0.00794, Mn:0.00387, Ca:0.00357",-
NIST K1506,0.186954*O+0.003803*Cr+0.003495*Fe+0.00187*Ni+0.00469*Ga+0.003083*Zr+0.009427*Sn+0.645104*Te+0.117751*Ba+0.009861*Yb+0.013962*Pb,"Te:0.64510, O:0.18695, Ba:0.11775, Pb:0.01396, Yb:0.00986, Sn:0.00943, Ga:0.00469, Cr:0.00380, Fe:0.00349, Zr:0.00308, Ni:0.00187",-
NIST K1526,0.03908*Li+0.327405*O+0.20274*F+0.05475*Na+0.03902*Mg+0.06135*Al+0.211245*P+0.06441*Br,"O:0.32741, P:0.21124, F:0.20274, Br:0.06441, Al:0.06135, Na:0.05475, Li:0.03908, Mg:0.03902",-
NIST K1527,0.04495*Li+0.327405*O+0.20274*F+0.05475*Na+0.03902*Mg+0.06135*Al+0.211245*P+0.05854*Cl,"O:0.32741, P:0.21124, F:0.20274, Al:0.06135, Cl:0.05854, Na:0.05475, Li:0.04495, Mg:0.03902",-
NIST K1541,0.000093*Li+0.459434*O+0.014837*Na+0.024123*Mg+0.132307*Al+0.249533*Si+0.033206*K+0.021441*Ca+0.002997*Ti+0.00112*V+0.001368*Cr+0.003872*Mn+0.027977*Fe+0.001421*Co+0.001572*Ni+0.001562*Rb+0.001691*Sr+0.001481*Zr+0.001398*Nb+0.018566*Pb,"O:0.45943, Si:0.24953, Al:0.13231, K:0.03321, Fe:0.02798, Mg:0.02412, Ca:0.02144, Pb:0.01857, Na:0.01484, Mn:0.00387, Ti:0.00300, Sr:0.00169, Ni:0.00157, Rb:0.00156, Zr:0.00148, Co:0.00142, Nb:0.00140, Cr:0.00137, V:0.00112, Li:0.00009",-
NIST K1546,0.432598*O+0.072369*Mg+0.050515*Al+0.182312*Si+0.028168*P+0.085763*Ca+0.029975*Ti+0.011203*V+0.012639*Mn+0.014212*Co+0.015977*Cu+0.064269*Zn,"O:0.43260, Si:0.18231, Ca:0.08576, Mg:0.07237, Zn:0.06427, Al:0.05051, Ti:0.02998, P:0.02817, Cu:0.01598, Co:0.01421, Mn:0.01264, V:0.01120",-
NIST K157,0.355453*O+0.064153*Na+0.226814*Si+0.03824*Zn+0.080338*Ba+0.234902*Er,"O:0.35545, Er:0.23490, Si:0.22681, Ba:0.08034, Na:0.06415, Zn:0.03824",-
NIST K1597,0.432876*O+0.120615*Mg+0.280479*Si+0.16603*K,"O:0.43288, Si:0.28048, K:0.16603, Mg:0.12061",-
NIST K1601,0.435174*O+0.074185*Na+0.079384*Al+0.217371*Si+0.107204*Ca+0.028007*V+0.031597*Mn+0.007106*Co+0.019971*Cu,"O:0.43517, Si:0.21737, Ca:0.10720, Al:0.07938, Na:0.07419, Mn:0.03160, V:0.02801, Cu:0.01997, Co:0.00711",-
NIST K1610,0.376623*O+0.10015*Na+0.052923*Al+0.191661*Si+0.083015*K+0.029975*Ti+0.034972*Fe+0.003929*Ni+0.080337*Zn+0.046416*Pb,"O:0.37662, Si:0.19166, Na:0.10015, K:0.08302, Zn:0.08034, Al:0.05292, Pb:0.04642, Fe:0.03497, Ti:0.02998, Ni:0.00393",-
NIST K1713,0.434574*O+0.037093*Na+0.280479*Si+0.142939*Ca+0.104915*Fe,"O:0.43457, Si:0.28048, Ca:0.14294, Fe:0.10491, Na:0.03709",-
NIST K1714,0.433216*O+0.074185*Na+0.280479*Si+0.107204*Ca+0.104915*Fe,"O:0.43322, Si:0.28048, Ca:0.10720, Fe:0.10491, Na:0.07419",-
NIST K1716,0.431858*O+0.111278*Na+0.280479*Si+0.071469*Ca+0.104915*Fe,"O:0.43186, Si:0.28048, Na:0.11128, Fe:0.10491, Ca:0.07147",-
NIST K1718,0.4305*O+0.14837*Na+0.280479*Si+0.035735*Ca+0.104915*Fe,"O:0.43050, Si:0.28048, Na:0.14837, Fe:0.10491, Ca:0.03574",-
NIST K1723,0.435253*O+0.018546*Na+0.280479*Si+0.160806*Ca+0.104915*Fe,"O:0.43525, Si:0.28048, Ca:0.16081, Fe:0.10491, Na:0.01855",-
